Topico,Fato
História,Você sabia? A Fórmula 1 começou oficialmente em 1950.
História,Você sabia? A primeira corrida foi disputada em Silverstone.
História,Você sabia? Giuseppe Farina foi o primeiro campeão mundial.
História,Você sabia? A Ferrari é a única equipe presente desde 1950.
História,Você sabia? Ayrton Senna venceu 3 títulos mundiais.
História,Você sabia? O GP do Brasil é realizado em Interlagos.
História,Você sabia? O nome oficial de Interlagos é Autódromo José Carlos Pace.
História,Você sabia? O Safety Car foi introduzido oficialmente em 1993.
História,Você sabia? O reabastecimento foi proibido a partir de 2010.
História,Você sabia? O halo se tornou obrigatório em 2018.
História,Você sabia? A F1 já correu na África do Sul.
História,Você sabia? A F1 já teve corridas não válidas para o campeonato.
História,Você sabia? A Red Bull estreou na F1 em 2005.
História,Você sabia? A Mercedes dominou a era híbrida de 2014 a 2020.
História,Você sabia? O GP da Itália acontece em Monza desde 1950.
História,Você sabia? A F1 já teve temporadas com apenas 7 etapas.
História,Você sabia? A bandeira quadriculada simboliza o fim da corrida.
História,Você sabia? O campeonato é organizado pela FIA.
História,Você sabia? A F1 já ultrapassou 1000 Grandes Prêmios disputados.
História,Você sabia? Já houve títulos decididos na última volta do campeonato.
Tecnologia,Você sabia? Um carro de F1 possui cerca de 80 mil componentes.
Tecnologia,Você sabia? Os motores atuais são V6 turbo híbridos.
Tecnologia,Você sabia? O ERS recupera energia das frenagens.
Tecnologia,Você sabia? O volante pode ter mais de 20 botões.
Tecnologia,Você sabia? Os freios podem atingir 1000°C.
Tecnologia,Você sabia? O DRS ajuda a aumentar as ultrapassagens.
Tecnologia,Você sabia? Os carros geram mais downforce que o próprio peso.
Tecnologia,Você sabia? O cockpit pode ultrapassar 50°C durante a corrida.
Tecnologia,Você sabia? A telemetria envia dados em tempo real para os boxes.
Tecnologia,Você sabia? Um pit stop pode durar menos de 2 segundos.
Tecnologia,Você sabia? O chassi é feito de fibra de carbono.
Tecnologia,Você sabia? Os pneus são fornecidos exclusivamente pela Pirelli.
Tecnologia,Você sabia? Existem três compostos principais por corrida.
Tecnologia,Você sabia? O halo já salvou vidas em acidentes graves.
Tecnologia,"Você sabia? A aceleração de 0 a 100 km/h leva cerca de 2,5 segundos."
Tecnologia,Você sabia? Os carros atingem mais de 350 km/h.
Tecnologia,Você sabia? As equipes usam simuladores avançados para testes.
Tecnologia,Você sabia? A F1 influencia tecnologias usadas em carros de rua.
Tecnologia,Você sabia? O tanque de combustível é altamente protegido.
Tecnologia,Você sabia? Cada piloto molda o banco exatamente ao seu corpo.
Recordes,Você sabia? Lewis Hamilton é um dos maiores vencedores da história.
Recordes,Você sabia? Hamilton e Schumacher têm 7 títulos cada.
Recordes,Você sabia? Max Verstappen foi um dos campeões mais jovens.
Recordes,Você sabia? A Ferrari é a equipe com mais títulos mundiais.
Recordes,Você sabia? Monza é conhecido como o Templo da Velocidade.
Recordes,Você sabia? Spa-Francorchamps é um dos circuitos mais desafiadores.
Recordes,Você sabia? Já houve vitórias decididas por milésimos de segundo.
Recordes,Você sabia? Um piloto pode perder até 3 kg em uma corrida.
Recordes,Você sabia? A corrida pode durar até 2 horas.
Recordes,Você sabia? O recorde de pit stop é inferior a 2 segundos.
Recordes,Você sabia? Schumacher conquistou 5 títulos consecutivos pela Ferrari.
Recordes,Você sabia? Vettel foi tetracampeão consecutivo.
Recordes,Você sabia? O maior número de vitórias em uma temporada ultrapassa 15.
Recordes,Você sabia? A pole position nem sempre garante vitória.
Recordes,Você sabia? Já houve corridas com apenas 6 carros largando.
Recordes,Você sabia? A F1 visita cinco continentes no calendário moderno.
Recordes,Você sabia? Alguns campeões nunca venceram em Mônaco.
Recordes,Você sabia? A chuva já decidiu campeonatos históricos.
Recordes,Você sabia? A maior sequência de títulos de equipe ultrapassa 7 anos.
Recordes,Você sabia? A F1 é considerada o auge do automobilismo mundial.
